City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kachug,53.9606,105.8817,-7.73,88,100,0.71,RU,1731370068
83,gadzhiyevo,69.2551,33.3362,2.36,88,100,7.77,RU,1731370069
84,santa cruz,-17.8,-63.1667,27.7,78,40,2.57,BO,1731370048
85,uturoa,-16.7333,-151.4333,26.29,81,82,8.11,PF,1731370069
86,blackmans bay,-43.0167,147.3167,18.62,48,31,0.89,AU,1731370070
87,port-vila,-17.7338,168.3219,29.78,58,75,5.14,VU,1731370070
88,west island,-12.1568,96.8225,26.99,78,100,6.17,CC,1731369962
89,magadan,59.5667,150.8,-12.5,71,100,4.5,RU,1731370071
90,mar del plata,-38.0023,-57.5575,11.72,74,0,2.68,AR,1731370017
91,atafu village,-8.5421,-172.5159,28.72,72,4,6.52,TK,1731370071
92,bilibino,68.0546,166.4372,-24.07,98,70,1.86,RU,1731370071
93,murzuq,25.9155,13.9184,17.7,28,33,2.94,LY,1731370072
94,kittila,67.6647,24.8936,-1.92,93,100,2.06,FI,1731370072
95,jamestown,42.097,-79.2353,10.57,78,100,8.75,US,1731369992
96,abadeh,31.1608,52.6506,11.4,48,25,2.86,IR,1731370073
97,panacan,9.2463,118.4082,27.66,80,70,0.47,PH,1731370073
98,afaahiti,-17.75,-149.2833,23.44,85,99,7.88,PF,1731370073
99,nemuro,43.3236,145.575,7.45,68,76,5.66,JP,1731370073
100,hamilton,39.1834,-84.5333,14.49,73,0,3.13,US,1731369497
101,salekhard,66.53,66.6019,-16.15,95,100,4.54,RU,1731370074
102,lihue,21.9789,-159.3672,25.77,97,100,4.12,US,1731370074
103,sao felix do xingu,-6.6447,-51.995,22.01,99,100,0.92,BR,1731370075
104,tolanaro,-25.0319,46.9987,23.39,81,84,1.77,MG,1731370075
105,kapoeta,4.7717,33.5903,24.57,68,60,0.92,SS,1731370075
106,ilulissat,69.2167,-51.1,-3.99,74,100,4.96,GL,1731370076
107,zabol,32.25,67.25,5.19,47,67,2.72,AF,1731370076
108,berezovyy,51.6667,135.7,-6.42,57,100,0.77,RU,1731370031
109,thompson,55.7435,-97.8558,-4.69,78,71,2.59,CA,1731370076
110,chela,34.069,104.4619,3.94,91,97,0.78,CN,1731370077
111,makoua,0.0069,15.6333,21.39,94,6,0.87,CG,1731370077
112,marks,51.7111,46.7486,-0.04,81,89,0.44,RU,1731370077
113,playa blanca,28.8643,-13.8281,21.06,81,0,7.4,ES,1731370078
114,wulingyuan,29.3494,110.5441,14.24,76,100,0.72,CN,1731370078
115,mount gambier,-37.8333,140.7667,17.92,72,79,3.11,AU,1731370078
116,wanning,18.8003,110.3967,23.84,93,100,3.77,CN,1731370079
117,vorgashor,67.5833,63.95,-15.28,95,100,3.51,RU,1731370079
118,raja,8.4596,25.678,23.78,38,47,1.54,SS,1731370079
119,fisterra,42.9049,-9.2629,15.29,75,34,9.47,ES,1731370079
120,al bayda',32.7627,21.7551,15.27,61,3,5.02,LY,1731370080
121,pisco,-13.7,-76.2167,19.03,82,0,7.2,PE,1731370080
122,la ronge,55.1001,-105.2842,1.12,80,100,6.17,CA,1731370080
123,bredasdorp,-34.5322,20.0403,13.98,89,19,1.23,ZA,1731369990
124,alaghsas,17.0187,8.0168,20.73,24,1,4.92,NE,1731370018
125,shanhecun,44.7,127.2,1.31,64,21,3.37,CN,1731370082
126,tol'yatti,53.5303,49.3461,-0.32,84,86,1.61,RU,1731370082
127,dhulikhel,27.6189,85.5529,12.75,90,0,0.58,NP,1731370082
128,tegueste,28.5167,-16.3167,18.78,65,0,2.57,ES,1731370082
129,zabaykal'sk,49.6333,117.3167,-6.13,74,2,1.51,RU,1731370083
130,la cocha,-27.7773,-65.5704,15.25,92,100,1.97,AR,1731370083
131,aasiaat,68.7098,-52.8699,-2.47,78,100,8.11,GL,1731370083
132,tazovsky,67.4667,78.7,-24.1,96,90,5.42,RU,1731370084
133,buka,40.8108,69.1986,7.62,68,96,1.45,UZ,1731370084
134,ostersund,63.1792,14.6357,4.78,94,100,5.14,SE,1731370085
135,fort saskatchewan,53.7168,-113.2187,3.21,87,86,2.68,CA,1731370085
136,copiapo,-27.3667,-70.3333,22.46,43,0,1.65,CL,1731370085
137,ust-nera,64.5667,143.2,-29.82,99,84,0.82,RU,1731370086
138,papatowai,-46.5619,169.4708,15.11,49,13,4.53,NZ,1731370086
139,marechal candido rondon,-24.5561,-54.0567,26.25,55,28,2.4,BR,1731370086
140,puerto colombia,10.9878,-74.9547,25.05,76,100,4.45,CO,1731370087
141,kavarna,43.4333,28.3333,5.32,99,85,6.95,BG,1731370087
142,swift current,50.2834,-107.8014,7.7,62,100,9.83,CA,1731370087
143,at taj,24.2049,23.2857,15.46,34,0,3.06,LY,1731370088
144,east london,-33.0153,27.9116,16.41,86,7,1.88,ZA,1731370088
145,badger,64.8,-147.5333,-15.66,78,75,0.0,US,1731370088
146,port alfred,-33.5906,26.891,17.32,94,1,0.89,ZA,1731370088
147,farafangana,-22.8167,47.8333,23.76,95,75,2.67,MG,1731370089
148,les cayes,18.2,-73.75,25.51,91,81,4.1,HT,1731370089
149,colonia,50.9333,6.95,9.51,92,75,1.54,DE,1731370075
150,argo,37.6333,22.7333,13.33,74,95,0.86,GR,1731370090
151,tirmiz,37.2242,67.2783,7.05,81,0,2.06,UZ,1731370090
152,port douglas,-16.4833,145.4667,27.83,66,37,3.49,AU,1731370090
153,tierra nueva,21.6833,-100.5667,20.43,49,39,5.01,MX,1731370091
154,la'ie,21.6477,-157.9253,28.98,82,16,3.58,US,1731370091
155,talnakh,69.4865,88.3972,-28.11,91,49,0.86,RU,1731370091
156,sur,22.5667,59.5289,26.22,49,6,1.33,OM,1731370091
157,whitehorse,60.7161,-135.0538,-1.57,86,75,1.03,CA,1731369890
158,nogliki,51.8333,143.1667,-4.24,52,65,5.28,RU,1731370092
159,avarua,-21.2078,-159.775,25.03,57,75,6.69,CK,1731370092
160,dudinka,69.4058,86.1778,-23.56,93,47,5.71,RU,1731370093
161,queenstown,-31.8976,26.8753,12.04,86,80,1.75,ZA,1731370093
162,fada,7.25,4.0667,22.87,96,27,0.5,NG,1731370093
163,wau,7.7029,27.9953,26.17,56,49,0.58,SS,1731370094
164,yeola,20.0333,74.4833,19.62,56,1,1.38,IN,1731370094
165,yerofey pavlovich,53.9667,121.9667,-18.7,97,15,1.27,RU,1731370094
166,codrington,-38.2667,141.9667,18.07,61,98,1.52,AU,1731370094
167,guiuan,11.0333,125.7247,28.09,76,63,1.29,PH,1731370095
168,tari,-11.1105,14.3559,19.11,93,99,0.81,AO,1731370095
169,punta arenas,-53.15,-70.9167,10.06,71,75,7.2,CL,1731370009
170,bayganin,48.6947,55.8742,-3.85,64,60,3.54,KZ,1731370096
171,haiku-pauwela,20.9219,-156.3051,27.36,69,40,12.52,US,1731370096
172,artsyz,45.9919,29.4182,6.02,79,100,4.2,UA,1731370096
173,tual,-5.6667,132.75,28.49,71,73,4.67,ID,1731370097
174,dunedin,-45.8742,170.5036,12.83,62,0,4.12,NZ,1731369989
175,zaqatala,41.6336,46.6433,7.26,81,75,1.03,AZ,1731370097
176,richards bay,-28.783,32.0377,19.49,88,100,2.52,ZA,1731370097
177,maceio,-9.6658,-35.7353,25.69,83,40,2.06,BR,1731370098
178,mirny,62.5353,113.9611,-11.13,97,98,1.59,RU,1731370098
179,nova xavantina,-14.6667,-52.35,23.69,87,64,2.16,BR,1731370098
180,nova sintra,14.8667,-24.7167,27.07,69,1,7.08,CV,1731370099
181,karratha,-20.7377,116.8463,31.25,29,7,5.0,AU,1731370099
182,dryden,49.7833,-92.7503,-0.99,76,3,1.18,CA,1731370099
183,cidreira,-30.1811,-50.2056,19.51,81,74,6.71,BR,1731370100
184,margate,51.3813,1.3862,9.27,84,46,3.13,GB,1731370100
185,olonkinbyen,70.9221,-8.7187,0.36,96,100,7.93,SJ,1731370101
186,prado,-17.3411,-39.2208,23.48,82,47,2.69,BR,1731370101
187,ati,13.2154,18.3353,26.89,22,0,5.64,TD,1731370101
188,stanley,54.868,-1.6985,6.27,91,78,1.03,GB,1731370101
189,walvis bay,-22.9575,14.5053,13.28,91,0,0.97,NA,1731370102
190,iskateley,67.6803,53.1512,-7.09,98,100,2.41,RU,1731370102
191,puerto aysen,-45.4,-72.7,7.54,100,100,2.75,CL,1731370102
192,udachny,66.4167,112.4,-24.13,100,100,1.72,RU,1731370002
193,magole,-6.3667,37.3667,22.12,87,8,0.59,TZ,1731370103
194,vilyuysk,63.7553,121.6247,-16.49,99,99,1.25,RU,1731370103
195,natchez,31.5604,-91.4032,21.69,60,0,2.06,US,1731370104
196,nar'yan-mar,67.6713,53.087,-6.99,99,100,2.36,RU,1731370104
197,maitum,6.0392,124.4986,28.71,73,24,0.54,PH,1731370105
198,puerto deseado,-47.7503,-65.8938,15.0,41,100,5.88,AR,1731370105
199,kailua-kona,19.6406,-155.9956,29.2,74,0,4.63,US,1731369948
200,muynoq,43.7683,59.0214,7.4,78,100,4.43,UZ,1731370106
201,troitskoye,52.9821,84.6757,-8.04,87,98,5.98,RU,1731370106
202,bakanas,44.8081,76.2772,5.75,74,100,4.59,KZ,1731370106
203,monster,52.0258,4.175,10.57,90,75,5.66,NL,1731370106
204,peruibe,-24.32,-46.9983,19.65,94,0,2.09,BR,1731370107
205,sallisaw,35.4604,-94.7875,17.98,71,0,0.0,US,1731370107
206,howard springs,-12.497,131.047,31.95,78,66,3.05,AU,1731370107
207,portland,45.5234,-122.6762,11.17,92,95,4.02,US,1731369711
208,gua musang,4.8823,101.9644,23.48,98,100,0.15,MY,1731370108
209,ishigaki,24.3448,124.1572,26.07,89,75,5.66,JP,1731369993
210,terme,41.2092,36.9739,12.49,73,96,1.53,TR,1731370109
211,port lincoln,-34.7333,135.8667,19.69,68,15,4.17,AU,1731370083
212,oroqen zizhiqi,50.5667,123.7167,-11.0,91,73,1.14,CN,1731370109
213,hirara,24.8,125.2833,26.48,83,100,6.95,JP,1731370110
214,natal,-5.795,-35.2094,26.58,68,96,4.05,BR,1731370110
215,domna,51.8971,113.1573,-17.91,85,100,0.0,RU,1731370110
216,ulsteinvik,62.3432,5.8487,6.84,93,100,3.21,NO,1731370111
217,gremda,34.75,10.7833,19.96,60,60,3.3,TN,1731370111
218,altamira,-3.2033,-52.2064,27.97,62,100,1.31,BR,1731370111
219,nikel,69.4128,30.222,1.13,93,100,3.3,RU,1731370112
220,mawu,34.4307,104.9176,3.65,91,93,1.89,CN,1731370112
221,flying fish cove,-10.4217,105.6791,26.82,89,75,3.6,CX,1731370112
222,sinabang,2.4803,96.3801,25.75,88,100,3.17,ID,1731370113
223,fuerte olimpo,-21.0415,-57.8738,30.59,35,8,1.87,PY,1731370114
224,cooma,-36.2333,149.1333,22.94,31,54,1.8,AU,1731370114
225,khanty-mansiysk,61.0042,69.0019,-13.94,78,0,2.0,RU,1731370114
226,bamboo flat,11.7,92.7167,28.05,83,40,2.06,IN,1731370115
227,touros,-5.1989,-35.4608,26.38,71,97,4.48,BR,1731370115
228,canutama,-6.5339,-64.3831,27.32,67,84,0.59,BR,1731370115
229,hasaki,35.7333,140.8333,19.16,58,15,1.31,JP,1731370116
230,amga,60.8953,131.9608,-16.78,97,99,1.23,RU,1731370116
231,quatre cocos,-20.2078,57.7625,24.06,68,52,6.16,MU,1731370116
232,idfu,24.9803,32.8747,18.6,40,0,4.22,EG,1731370117
233,shwebo,22.5667,95.7,20.88,95,7,1.87,MM,1731370117
234,oranjemund,-28.55,16.4333,14.68,94,1,5.04,NA,1731370117
